,3P%,3P%Season Total,3PM-A,3PM-ASeason Total,AST,AST/TO,ASTSeason Total,BLK,BLKSeason Total,DBLDBL,DQ,DR,DRSeason Total,EJECT,FG%,FG%Season Total,FGM-A,FGM-ASeason Total,FLAG,FT%,FT%Season Total,FTM-A,FTM-ASeason Total,GP,GS,MIN,Name,OR,ORSeason Total,PF,PFSeason Total,PTS,PTSSeason Total,RAT,REB,REBSeason Total,SCEFF,SEASON,SEASONSeason Total,SHEFF,STL,STL/TO,STLSeason Total,TEAM,TEAMSeason Total,TECH,TO,TOSeason Total,TRIDBL
41,.362,.362,0.9-2.4,54-149,6.2,1.82,387,0.8,50,23,0,6.4,398,0,.531,.531,10.0-18.9,621-1169,0,.771,.771,6.2-8.1,387-502,62,62,37.5,LeBron James,1.5,94,1.5,96,27.1,1683,47.86,7.9,492,1.440,'11-'12,'11-'12,.554,1.9,0.54,115,,,3,3.4,213,0
42,.406,.406,1.4-3.3,103-254,7.3,2.44,551,0.9,67,36,0,6.8,513,0,.565,.565,10.1-17.8,765-1354,1,.753,.753,5.3-7.0,403-535,76,76,37.9,LeBron James,1.3,97,1.4,110,26.8,2036,50.30,8.0,610,1.504,'12-'13,'12-'13,.603,1.7,0.57,129,,,6,3.0,226,4
43,.379,.379,1.5-4.0,116-306,6.3,1.81,488,0.3,26,12,1,5.9,452,0,.567,.567,10.0-17.6,767-1353,1,.750,.750,5.7-7.6,439-585,77,77,37.7,LeBron James,1.1,81,1.6,126,27.1,2089,47.07,6.9,533,1.544,'13-'14,'13-'14,.610,1.6,0.45,121,,,5,3.5,270,1
44,.354,.354,1.7-4.9,120-339,7.4,1.88,511,0.7,49,22,0,5.3,365,0,.488,.488,9.0-18.5,624-1279,1,.710,.710,5.4-7.7,375-528,69,69,36.1,LeBron James,0.7,51,2.0,135,25.3,1743,43.38,6.0,416,1.363,'14-'15,'14-'15,.535,1.6,0.40,109,,,5,3.9,272,2
45,.309,.309,1.1-3.7,87-282,6.8,2.06,514,0.6,49,28,0,6.0,454,0,.520,.520,9.7-18.6,737-1416,0,.731,.731,4.7-6.5,359-491,76,76,35.6,LeBron James,1.5,111,1.9,143,25.3,1920,45.06,7.4,565,1.356,'15-'16,'15-'16,.551,1.4,0.42,104,,,4,3.3,249,3
46,.363,.363,1.7-4.6,124-342,8.7,2.13,646,0.6,44,42,2,7.3,542,0,.548,.548,9.9-18.2,736-1344,0,.674,.674,4.8-7.2,358-531,74,74,37.8,LeBron James,1.3,97,1.8,134,26.4,1954,50.02,8.6,639,1.454,'16-'17,'16-'17,.594,1.2,0.30,92,,,4,4.1,303,13
47,.473,.473,0.5-1.0,35-74,1.1,1.16,81,0.3,19,0,0,1.4,98,0,.485,.485,2.0-4.1,142-293,0,.711,.711,1.0-1.3,69-97,72,17,16.9,Gordon Hayward,0.6,41,1.5,106,5.4,388,9.47,1.9,139,1.324,'10-'11,'10-'11,.544,0.4,0.43,30,,,0,1.0,70,0
48,.346,.346,0.8-2.4,55-159,3.1,1.90,207,0.6,41,1,0,2.6,171,0,.456,.456,4.0-8.9,267-586,0,.832,.832,2.9-3.5,193-232,66,58,30.4,Gordon Hayward,0.9,59,1.6,106,11.8,782,21.09,3.5,230,1.334,'11-'12,'11-'12,.503,0.8,0.49,53,,,1,1.7,109,0
49,.415,.415,1.4-3.4,102-246,3.0,1.78,213,0.5,38,0,1,2.4,174,0,.435,.435,4.7-10.7,336-773,0,.827,.827,3.4-4.1,243-294,72,27,29.2,Gordon Hayward,0.7,51,1.7,125,14.1,1017,22.57,3.1,225,1.316,'12-'13,'12-'13,.501,0.8,0.48,58,,,0,1.7,120,0
50,.304,.304,1.1-3.6,85-280,5.2,1.89,400,0.5,40,9,0,4.3,329,0,.413,.413,5.5-13.4,426-1032,0,.816,.816,4.0-4.9,311-381,77,77,36.4,Gordon Hayward,0.8,62,2.0,155,16.2,1248,28.86,5.1,391,1.209,'13-'14,'13-'14,.454,1.4,0.52,110,,,0,2.8,212,0
51,.364,.364,1.6-4.3,120-330,4.1,1.52,313,0.4,30,2,0,4.2,319,0,.445,.445,6.4-14.3,484-1087,0,.812,.812,4.9-6.1,375-462,76,76,34.4,Gordon Hayward,0.7,54,1.7,131,19.3,1463,31.13,4.9,373,1.346,'14-'15,'14-'15,.500,1.4,0.52,108,,,0,2.7,206,0
